Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
15/10/2024,1,"Vildoza, L.",28.62,3,0,0,0.0,0,1,0.0,1,3,33.33333333333333,0,5,5,5,0,0,0,2,2,1
15/10/2024,2,"Aaliya, L.",10.88,2,0,0,0.0,1,2,50.0,0,3,0.0,0,4,4,0,1,0,2,1,0,0
15/10/2024,3,"Moussa, F.",7.32,0,0,0,0.0,0,1,0.0,0,2,0.0,0,0,0,7,0,0,0,0,3,0
15/10/2024,4,"Negrete, A.",30.69,19,3,4,75.0,5,7,71.42857142857143,2,6,33.33333333333333,2,7,9,0,0,0,2,2,1,3
15/10/2024,5,"Guerrero, J.",0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
15/10/2024,6,"Copello, N.",16.12,0,0,0,0.0,0,2,0.0,0,4,0.0,0,1,1,1,0,0,1,2,1,1
15/10/2024,9,"Lugarini, B.",20.49,8,1,2,50.0,2,2,100.0,1,1,100.0,0,3,3,1,1,1,3,2,2,1
15/10/2024,10,"Pomoli, N.",27.99,24,3,3,100.0,6,8,75.0,3,4,75.0,1,8,9,0,0,0,0,1,3,6
15/10/2024,13,"Monacchi, T.",18.95,12,2,3,66.66666666666666,2,3,66.66666666666666,2,3,66.66666666666666,0,1,1,0,0,0,1,0,2,3
15/10/2024,14,"Saiz, J.",24.99,13,3,3,100.0,5,9,55.55555555555556,0,0,0.0,4,2,6,0,1,1,0,0,4,2
15/10/2024,19,"Ferri, V.",0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
15/10/2024,20,"Barros, A.",0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
15/10/2024,35,"Acuña, R.",13.94,4,2,3,66.66666666666666,1,2,50.0,0,1,0.0,3,2,5,0,0,1,0,1,1,2
15/10/2024,7,"Giuliani, L.",1.15,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
