Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
24/10/2024,1,"PAZ , E.",00:07:40,2,0,0,0,1,2,50,0,2,0,1,0,1,0,0,0,0,0,2,0
24/10/2024,2,"JENKINS, J.",00:23:03,4,0,0,0,2,4,50,0,1,0,1,5,6,1,0,0,1,1,4,1
24/10/2024,3,"CHACON, M.",00:20:53,0,0,0,0,0,2,0,0,3,0,0,1,1,1,0,1,1,1,2,0
24/10/2024,5,"DE LOS SANTOS, N.",00:18:38,8,0,0,0,4,5,80,0,0,0,0,1,1,1,0,1,0,2,4,1
24/10/2024,6,"CISNEROS, A.",00:25:48,14,1,2,50,5,5,100,1,3,33,1,6,7,0,1,0,1,0,4,1
24/10/2024,9,"DATO, M.",00:20:00,7,0,0,0,2,2,100,1,3,33,1,2,3,2,0,0,1,0,2,1
24/10/2024,10,"COPESKY, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/10/2024,12,"TORETTA, E.",00:24:02,6,0,1,0,3,6,50,0,7,0,0,0,0,4,0,1,1,1,0,3
24/10/2024,14,"RIVERO, C.",00:10:58,6,0,0,0,3,4,75,0,0,0,0,1,1,0,0,1,0,0,1,0
24/10/2024,15,"NATION, A.",00:28:46,15,5,9,55,5,9,55,0,3,0,3,2,5,0,2,0,3,2,3,6
24/10/2024,17,"AYALA, V.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/10/2024,23,"DANIELS, T.",00:20:11,12,4,4,100,4,4,100,0,1,0,2,6,8,1,0,0,0,0,1,3
