Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
11/11/2024,0,"FERNANDEZ, V.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2024,1,"THORNTON, W.",00:37:07,33,7,8,87,13,20,65,0,3,0,0,4,4,1,0,1,0,0,1,7
11/11/2024,2,"TOLOSA, F.",00:24:26,3,0,0,0,0,1,0,1,5,20,0,4,4,0,0,1,0,0,3,0
11/11/2024,12,"PINEDA, D.",00:20:37,9,0,0,0,0,0,0,3,7,42,0,3,3,2,0,1,1,1,3,1
11/11/2024,15,"CHIARAVIGLIO, N.",00:11:29,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,1,0
11/11/2024,18,"BEDNAREK, I.",00:05:04,2,2,2,100,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1
11/11/2024,22,"ANDUJAR, L.",00:39:12,10,3,3,100,2,4,50,1,2,50,1,6,7,13,0,0,2,3,3,3
11/11/2024,25,"CAUMO, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2024,33,"ROSSI, G.",00:00:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2024,35,"MARIN, A.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2024,38,"KRAMER, K.",00:34:56,13,1,3,33,6,6,100,0,0,0,4,5,9,0,2,0,3,1,4,2
11/11/2024,50,"THOMAS, M.",00:26:21,12,1,1,100,4,11,36,1,3,33,0,2,2,3,0,0,0,2,2,4
