Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
31/10/2024,1,"Vildoza, L.",25.2,0,0,0,0.0,0,1,0.0,0,5,0.0,0,3,3,3,0,0,2,1,5,1
31/10/2024,2,"Aaliya, L.",22.02,10,2,4,50.0,4,7,57.14285714285714,0,2,0.0,0,5,5,1,0,0,0,0,4,3
31/10/2024,3,"Moussa, F.",14.07,4,0,0,0.0,2,2,100.0,0,1,0.0,0,0,0,1,0,1,2,0,2,0
31/10/2024,4,"Negrete, A.",29.57,17,0,2,0.0,7,12,58.333333333333336,1,5,20.0,2,7,9,1,0,0,1,1,1,2
31/10/2024,5,"Guerrero, J.",2.85,1,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,1
31/10/2024,6,"Copello, N.",22.38,12,0,0,0.0,3,4,75.0,2,6,33.33333333333333,1,2,3,4,0,0,1,3,1,2
31/10/2024,9,"Lugarini, B.",14.18,2,0,0,0.0,1,3,33.33333333333333,0,2,0.0,1,1,2,2,0,0,0,0,5,0
31/10/2024,10,"Pomoli, N.",23.03,21,7,11,63.63636363636363,4,7,57.14285714285714,2,5,40.0,1,4,5,2,1,1,1,0,2,10
31/10/2024,13,"Monacchi, T.",26.57,14,3,4,75.0,4,6,66.66666666666666,1,2,50.0,3,5,8,1,0,0,2,0,4,3
31/10/2024,14,"Saiz, J.",18.92,6,0,0,0.0,3,3,100.0,0,0,0.0,0,4,4,1,0,0,1,1,0,0
31/10/2024,19,"Ferri, V.",0.62,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
31/10/2024,20,"Barros, A.",0.62,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
